Código,Nombre,Provincia,Dependencia,Tipología,Localidad,Departamento,Barrio,Domicilio,CP,Tipo de teléfono,Teléfono,Mail,Categoría de tipología,Responsable,Origen de financiamiento,GLN
50140982333487,ACIPIDIM - CENTRO EDUCATIVO TERAPEUTICO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,MENDOZA 1238,5800,Tel/Fax,0358-4629975,acipdim@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Dra. Vazquez, María Antonia",Privado,null
13140982331350,ASOCIACION NAZARETH,Córdoba,Privado,ESCIESM,LAS HIGUERAS,RÍO CUARTO,null,CALLE PUBLICA S/N,5805,Directo,0358 - 4702097,null,Bajo riesgo con internación simple,"Dr. Casas, Mario Alberto",Privado,null
50140982334798,BIO CENTRO MEDICO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,BOLIVAR 147,5800,Tel/Fax,0358-4631605,danieljuy@yahoo.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,DR. DANIEL OSCAR JUY,Privado,null
53140982334595,CARDIOMED EMERGENCIAS MEDICAS,Córdoba,Privado,ESCL,RIO CUARTO,RÍO CUARTO,null,Mitre 930,5800,Administración,0358-4640232,null,Sistema de Atención extra hospitalaria,"DE LA VEGA, MARCELO",Privado,null
50140982334032,CEM - CENTRO DE ESPECIALIDADES MEDICAS,Córdoba,Privado,ESSIDT,VICUŃA MACKENNA,RÍO CUARTO,null,LEANDRO N. ALEM 664,6140,Tel/Fax,03583-421633,monica_fischer@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Dra. Fischer, Mónica Beatriz",Privado,null
50140982334793,CENTRO - CONSULTORIOS PRIVADOS DEL CENTRO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,HIPOLITO YRIGOYEN 996,5800,Tel/Fax,0358-4642612,lladser@fibertel.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,DR. RAUL TEODORO PALUMBO,Privado,null
52140982334836,CENTRO DE DIA COOOPERATIVA TODOS JUNTOS,Córdoba,Privado,ESSIT,RIO CUARTO,RÍO CUARTO,null,Camino Santa Flora (Zona Autodromo),5800,Tel/Fax,0358-4632141,cooptodosjuntos@hotmail.com,Centro de día,DR. MONTIRONI,Privado,null
52140982334783,CENTRO DE DIA LUCES DEL ALMA,Córdoba,Privado,ESSIT,RIO CUARTO,RÍO CUARTO,null,SAN LUIS 1174,5800,Directo,0358-154855383,centrodedialucesdelalma@gmail.com,Centro de día,"DRA. FERRARI, ANA MARIA",Privado,null
52140982333903,CENTRO DE DIA PUERTA ESPERANZA,Córdoba,Privado,ESSIT,RIO CUARTO,RÍO CUARTO,null,Mitre 1764,5800,Tel/Fax,0358-4625926,null,Centro de día,Dr. Efraín Fortunato Lofredo,Privado,null
50140982333338,CENTRO DE DIAGNOSTICO PRIVADO CARDIOMED,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Cabrera 1515,5800,Tel/Fax,0358- 4641142,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Villalva, Rodolfo Oscar",Privado,null
50140982333122,CENTRO DE OJOS PRIVADO ADELIA MARIA,Córdoba,Privado,ESSIDT,ADELIA MARIA,RÍO CUARTO,null,Avda. Gral.Lopez 316,5843,Directo,03585-422306,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Jerabek, Roque Valerio",Privado,null
50140982334885,CENTRO DE PEDIATRIA GINECO-OBSTETRICIA Y DIAGNOSTICO POR IMAGENES NOVOIMAGENES,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Avenida Italia 1454,5800,Administración,0358-4646622,info@neoclinica.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Borgui, Sergio Carlos",Privado,null
51140982335093,CENTRO DE RADIOLOGIA ODONTOLOGICA Y MEDICA E IMAGENES DIGITALES - CROMO S.A,Córdoba,Privado,ESSID,RIO CUARTO,RÍO CUARTO,null,Constitución 840,5800,Administración,3584644701,null,Diagnostico por Imágenes odontológicas,"Dra. Sanchez, Mirta",Privado,null
50140982334665,CENTRO DE REHABILITACION FUNDACION DESAFIO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,25 DE MAYO 153,5800,Tel/Fax,0358-4633747,fundaciondesafio@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Dr. Sanabria, Javier",Privado,null
50140982133408,CENTRO DE REHABILITACION HOSPITAL CENTRAL,Córdoba,Provincial,ESSIDT,RIO CUARTO,RÍO CUARTO,null,GRAL. MOSCONI 486,5800,Tel/Fax,0358-4672934,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Dra. García Agazzoni, Carina",Público,null
50140982333572,CENTRO DE REHABILITACION INTEGRAL PRIVADO ELPHIS,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,NICARAGUA 58,5800,Tel/Fax,0358-4621314,null,Con atención médica diaria y con especialidades y/o otras profesiones,"Lic. Hansen, Mariela Paola",Privado,null
50140982334623,CENTRO DE REHABILITACION INTEGRAL PRIVADO ESTIMULOS,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,JUJUY 1268,5800,Recepción,0358-4620567,estimulos_rehabilitacion@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Lic. en Psicología Hansen, Daniela Noemí",Privado,null
50140982334574,CENTRO DE REHABILITACION MEDICO PRIVADO S.R.L.,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,ALBERDI 1032,5800,Administración,(0358)4630367,administracion@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,EFRAIN FORTUNATO LOFREDO,Privado,null
50140982334627,CENTRO DE REHABILITACION NEUROCET S.R.L.,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Comisario Medina 2245,5800,Tel/Fax,0358-154202407,neurocetriocuarto@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,"Dra. Rodriguez, Silvia Susana",Privado,null
50140982334508,CENTRO DE REPRODUCCION ASISTIDA CREA S.R.L.,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,Wenceslao Tejerina Norte 241,5800,Administración,0358-4643654,centro.crea@hotmail.com,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Marcelo Armando La Falce,Privado,null
50140982334790,CENTRO DE SALUD ASOCIACION SINDICAL DE TRABAJADORES DE FARMACIA RIO CUARTO,Córdoba,Privado,ESSIDT,RIO CUARTO,RÍO CUARTO,null,9 DE JULIO 1120,5800,Administración,0358-622402,null,Con atención médica diaria y con especialidades y/o otras profesiones,Dr. Fernando Napoli,Privado,null
50140982333637,CENTRO DE SALUD HOLISTICA AMATREYA - SERVICIO DE MEDICINA DEL TRABAJO S.R.L,Córdoba,Privado,ESSID,RIO CUARTO,RÍO CUARTO,null,HIPOLITO YRIGOYEN 1364,5800,Tel/Fax,0358-4629830,medicinadeltrabajo@arnet.com.ar,Medicina Laboral,Dr. Luis Eligio Quero,Privado,null
50140982231664,CENTRO DE SALUD JUAN CORTONA,Córdoba,Municipal,ESSIDT,LAS HIGUERAS,RÍO CUARTO,null,PJE. BULNES 157,5805,Directo,(0358) 497-0006,lashigueras@hotmail.com,Con atención médica general por lo menos 3 días de la semana,MARCELO ALBERTO SANTUCHO,Público,null
50140982231658,CENTRO DE SALUD MUNICIPAL DE ELENA,Córdoba,Municipal,ESSIDT,ELENA,RÍO CUARTO,null,SAN JUAN 79,5815,Directo,0358-4881144,secdeportes@emprendinet.com.ar,Con atención médica diaria y con especialidades y/o otras profesiones,VICTOR HUGO GARCIA,Público,null
50140982231704,CENTRO DE SALUD MUNICIPAL DE RIO CUARTO,Córdoba,Municipal,ESSIDT,RIO CUARTO,RÍO CUARTO,null,CABRERA 1322,5800,Directo,(0358) 467-1274,null,Con atención médica general por lo menos 3 días de la semana,Sin Dato,Público,null
