departamento_fid,departamento_prioridad,amenity,healthcare,name,operator,addr:street,addr:housenumber,addr:nohousenumber,addr:full,addr:postcode,phone,operator:type,wikidata,wikipedia,ref:sisa_refes
35,1,hospital,hospital,Asociacion Nazareth,Privado,calle publica s/n ,0,yes,,5805,0358 - 4702097,Privado,,,
35,1,hospital,hospital,Bio Centro Medico,Privado,bolivar ,147,,,5800,0358-4631605,Privado,,,
35,1,hospital,hospital,Cardiomed Emergencias Medicas,Privado,mitre ,930,,,5800,0358-4640232,Privado,,,
35,1,hospital,hospital,Cem - Centro De Especialidades Medicas,Privado,leandro n. alem ,664,,,6140,03583-421633,Privado,,,
35,1,hospital,hospital,Centro - Consultorios Privados Del Centro,Privado,hipolito yrigoyen ,996,,,5800,0358-4642612,Privado,,,
35,1,hospital,hospital,Centro De Dia Coooperativa Todos Juntos,Privado,camino santa flora (zona autodromo) ,0,yes,,5800,0358-4632141,Privado,,,
35,1,hospital,hospital,Centro De Dia Luces Del Alma,Privado,san luis ,1174,,,5800,0358-154855383,Privado,,,
35,1,hospital,hospital,Centro De Dia Puerta Esperanza,Privado,mitre ,1764,,,5800,0358-4625926,Privado,,,
35,1,hospital,hospital,Centro De Diagnostico Privado Cardiomed,Privado,cabrera ,1515,,,5800,0358- 4641142,Privado,,,
35,1,hospital,hospital,Centro De Ojos Privado Adelia Maria,Privado,avda. gral.lopez ,316,,,5843,03585-422306,Privado,,,
35,1,hospital,hospital,Centro De Pediatria Gineco-Obstetricia Y Diagnostico Por Imagenes Novoimagenes,Privado,avenida italia ,1454,,,5800,0358-4646622,Privado,,,
35,1,hospital,hospital,Centro De Radiologia Odontologica Y Medica E Imagenes Digitales - Cromo S.A,Privado,constitución ,840,,,5800,3584644701,Privado,,,
35,1,hospital,hospital,Centro De Rehabilitacion Fundacion Desafio,Privado,25 de mayo ,153,,,5800,0358-4633747,Privado,,,
35,1,hospital,hospital,Centro De Rehabilitacion Hospital Central,Provincial,gral. mosconi ,486,,,5800,0358-4672934,Provincial,,,
35,1,hospital,hospital,Centro De Rehabilitacion Integral Privado Elphis,Privado,nicaragua ,58,,,5800,0358-4621314,Privado,,,
35,1,hospital,hospital,Centro De Rehabilitacion Integral Privado Estimulos,Privado,jujuy ,1268,,,5800,0358-4620567,Privado,,,
35,1,hospital,hospital,Centro De Rehabilitacion Medico Privado S.R.L.,Privado,alberdi ,1032,,,5800,(0358)4630367,Privado,,,
35,1,hospital,hospital,Centro De Rehabilitacion Neurocet S.R.L.,Privado,comisario medina ,2245,,,5800,0358-154202407,Privado,,,
35,1,hospital,hospital,Centro De Reproduccion Asistida Crea S.R.L.,Privado,wenceslao tejerina norte ,241,,,5800,0358-4643654,Privado,,,
35,1,hospital,hospital,Centro De Salud Asociacion Sindical De Trabajadores De Farmacia Rio Cuarto,Privado,9 de julio ,1120,,,5800,0358-622402,Privado,,,
35,1,hospital,hospital,Centro De Salud Holistica Amatreya - Servicio De Medicina Del Trabajo S.R.L,Privado,hipolito yrigoyen ,1364,,,5800,0358-4629830,Privado,,,
35,1,hospital,hospital,Centro De Salud Juan Cortona,Municipal,pje. bulnes ,157,,,5805,(0358) 497-0006,Municipal,,,
35,1,hospital,hospital,Centro De Salud Municipal De Elena,Municipal,san juan ,79,,,5815,0358-4881144,Municipal,,,
35,1,hospital,hospital,Centro De Salud Municipal De Rio Cuarto,Municipal,cabrera ,1322,,,5800,(0358) 467-1274,Municipal,,,
35,1,hospital,hospital,Centro De Salud Municipal De Tosquita,Municipal,21 de junio ,408,,,6141,O3583-492054,Municipal,,,
35,1,hospital,hospital,Centro De Salud Municipal Monte De Los Gauchos,Municipal,san martin ,191,,,5839,03585-492137,Municipal,,,
35,1,hospital,hospital,Centro De Salud Nş 13,Municipal,pasaje cabildo de la concepcion ,650,,,5800,0358-4671111,Municipal,,,
35,1,hospital,hospital,Centro De Salud Nş 5,Municipal,pasaje cabildo de la concepcion ,650,,,5800,0358-4671111,Municipal,,,
35,1,hospital,hospital,Centro De Salud Nş 6,Municipal,pasaje cabildo de la concepcion ,650,,,5800,0358-4671111,Municipal,,,
35,1,hospital,hospital,Centro De Traumatologia Y Artroscopia Privado Srl,Privado,buenos aires ,659,,,5800,0358 4647100,Privado,,,
35,1,hospital,hospital,Centro Educativo Terapeutico Con Integracion Escolar Y Centro De Dia Kalen,Privado,paul harris ,829,,,5800,0358-4750109,Privado,,,
35,1,hospital,hospital,Centro Flebologico,Privado,hipolito yrigoyen ,849,,,5800,0358-4645405,Privado,,,
35,1,hospital,hospital,Centro Imago Sa Privado,Privado,pedernera ,459,,,5800,0358-4620273,Privado,,,
35,1,hospital,hospital,Centro Instituto Integral De Rehabilitacion Apadim,Privado,rioja ,179,,,5800,0358-4625792,Privado,,,
35,1,hospital,hospital,Centro Medico Aspurc,Privado,velez sarsfield ,448,,,5800,0358-476-8200,Privado,,,
35,1,hospital,hospital,Centro Medico Cientifico Privado,Privado,alvear ,1339,,,5800,0358-4642445,Privado,,,
35,1,hospital,hospital,Centro Medico De Alto Rendimiento S.A.,Privado,hipolito yrigoyen ,1071,,,5800,0358-4636474,Privado,,,
35,1,hospital,hospital,Centro Medico De La Clinica Regional Del Sud S.A,Privado,alvear ,1244,,,5800,0358-4679500,Privado,,,
35,1,hospital,hospital,Centro Medico De Salud Ocupacional,Privado,alberdi ,638,,,5800,4620932,Privado,,,
35,1,hospital,hospital,Centro Medico Femep,Privado,alvear ,1076,,,5800,0358-4630085,Privado,,,
35,1,hospital,hospital,Centro Medico Humane Privado,Privado,buenos aires ,542,,,5800,0358-4645604,Privado,,,
35,1,hospital,hospital,Centro Medico Integral De Salud Ocupacional Y Medicina Legal,Privado,alberdi ,638,,,5800,0358-4620932,Privado,,,
35,1,hospital,hospital,Centro Medico Privado Alumbrar,Privado,espańa ,350,,,5800,0358-4642705,Privado,,,
35,1,hospital,hospital,Centro Medico Privado Daverley,Privado,colon ,471,,,5800,0358-4640447,Privado,,,
35,1,hospital,hospital,Centro Medico Privado Del Nińo Y La Familia,Privado,alvear ,834,,,5800,0358-4623916,Privado,,,
35,1,hospital,hospital,Centro Medico Privado Gastromed,Privado,rioja ,252,,,5800,0358-4621517,Privado,,,
35,1,hospital,hospital,Centro Medico Privado Nazareth,Privado,avenida ricardo risatti ,504,,,6140,03583-420046,Privado,,,
35,1,hospital,hospital,Centro Medico Privado San Sebastian,Privado,roca ,43,,,5815,0358-4881460,Privado,,,
35,1,hospital,hospital,Centro Medico Salus,Privado,mendoza ,954,,,5800,0358-4630304,Privado,,,
35,1,hospital,hospital,Centro Medico Villa Dalcar Privado,Privado,wenceslao tejerino norte ,241,,,5800,0358-4643654,Privado,,,
35,1,hospital,hospital,Centro Oftalmologico Privado,Privado,buenos aires ,659,,,5800,0358-4647197,Privado,,,
35,1,hospital,hospital,Centro Periferico N° 1 De Rio Cuarto,Municipal,belisario roldan ,540,,,5800,0358-4671284,Municipal,,,
35,1,hospital,hospital,Centro Periferico N° 2 De Rio Cuarto,Municipal,gral. jose garibaldi ,198,,,5800,0358-4671285,Municipal,,,
35,1,hospital,hospital,Centro Periferico N° 3 De Rio Cuarto,Municipal,rioja ,1800,,,5800,0358-4671286,Municipal,,,
35,1,hospital,hospital,Centro Periferico N° 7,Municipal,paso de los andes ,1225,,,5800,0358-4753450,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 10,Municipal,san luis ,350,,,5800,0358-4671293,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 11,Municipal,adelia maria y malabia - barrio alberdi ,0,yes,,5800,0358-4671294,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 12,Municipal,dinkeldein ,3300,,,5800,0358-4671295,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 14,Municipal,laguna leuvuco ,3505,,,5800,0358-4671394,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 15,Municipal,17 de octubre y pasaje público ,0,yes,,5800,0358-4671442,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 16,Municipal,venezuela ,814,,,5800,0358-4672515,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 8,Municipal,iguazú s/n barrio el acordeón ,0,yes,,5800,0358-4671291,Municipal,,,
35,1,hospital,hospital,Centro Periferico Nş 9,Municipal,ignacio pirovano 340  ,0,yes, vicente lópez y andrade barrio alberdi,5800,0358-4671292,Municipal,,,
35,1,hospital,hospital,Centro Privado Con Apoyo Escolar Rucahue,Privado,amadeo ayacucho ,5894,,,5000,03543-421670,Privado,,,
35,1,hospital,hospital,Centro Privado De Radioterapia Rio Cuarto S.A.,Privado,general paz ,1556,,,5800,0358-4648062,Privado,,,
35,1,hospital,hospital,Centro Quirurgico Vithas,Privado,constitución ,1021,,,5800,0358-4650486,Privado,,,
35,1,hospital,hospital,Centro Rehabilitacion Neurologica Nueva Vida,Privado,san lorenzo ,932,,,5800,0358-4645886,Privado,,,
35,1,hospital,hospital,Clinica De Ojos Privada Nueva Vision Rio Cuarto S.R.L,Privado,lamadrid ,685,,,3615,0358-422907,Privado,,,
35,1,hospital,hospital,Clinica Oftalmologica Oftalmos S.R.L.,Privado,dean funes ,458,,,5800,0800-555-5525,Privado,,,
35,1,hospital,hospital,Clinica Privada De Medicina Especializada Philippe Pinel S A,Privado,guatemala ,150,,,5800,03586-4622107,Privado,,,
35,1,hospital,hospital,Clinica Regional Del Sud,Privado,avenida italia ,1262,,,5800,0358-4679500,Privado,,,
35,1,hospital,hospital,Consultorios Juntos,Privado,moreno ,1044,,,5800,0358-154167520,Privado,,,
35,1,hospital,hospital,Diagnosticos Srl Privado,Privado,cabrera ,1627,,,5800,0358-4628541,Privado,,,
35,1,hospital,hospital,Dispensario Comunal El Potosi,Municipal,av. belgrano s/nş ,0,yes,,5841,(0358) 480-1017/08,Municipal,,,
35,1,hospital,hospital,Dispensario Las Peńas Sud,Municipal,avenida 22 de octubre y 9 de julio ,0,yes,,5819,0353-4879020,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal (Suco),Municipal,18 de octubre ,180,,,5837,03582-491006,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal Achiras,Municipal,cabrera y 9 de julio ,0,yes,,5833,(03582) 49-5019/49-5249,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal Bulnes,Municipal,sarmiento ,245,,,5845,(03582) 49-4191,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal Carnerillo,Municipal,faucher ,173,,,5805,3584883023,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal Chajan,Municipal,bolivar y mendoza ,0,yes,,5837,(03582) 49-2024,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal Chucul,Municipal,francisco ferreyra s/nş ,0,yes,,5805,(0358) 491-2005,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal De Alpa Corral ( Dr Coria ),Municipal,los ligustros ,0,yes,,5801,0358-488828,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal De Coronel Baigorria,Municipal,gral. paz ,275,,,5811,0358-4882041,Municipal,,,
35,1,hospital,hospital,Dispensario Municipal San Basilio,Municipal,r. coego ,144,,,5841,03585-491010,Municipal,,,
35,1,hospital,hospital,Dispensario Nş 4,Municipal,pasaje cabildo de la concepcion ,650,,,5800,0358-4671111,Municipal,,,
35,1,hospital,hospital,Eden Residencia Geriatrica Privada,Privado,alem ,238,,,5843,03585-420258,Privado,,,
35,1,hospital,hospital,Emergencia Privada Amor Y Paz,Privado,juan b. justo ,242,,,5800,(0358) 463-0823,Privado,,,
35,1,hospital,hospital,Emergencias Rio Cuarto Srl - Centro Medico,Privado,hipolito yrigoyen ,739,,,5800,0358-4622900,Privado,,,
35,1,hospital,hospital,Establecimiento Comunidad Terapeutica Las Vertientes,Privado,calle publica ,0,yes,,5839,0351-4741538,Privado,,,
35,1,hospital,hospital,Fundacion Maternidad Hortensia Gardey De Kowalk,Municipal,kowalk ,663,,,5800,0358-4671195,Municipal,,,
35,1,hospital,hospital,Geriatrico Hogar Maria De Guadalupe,Privado,alvear ,714,,,5800,0358-4623317,Privado,,,
35,1,hospital,hospital,Hogar De Ancianos Privado Santa Rita,Privado,sobremonte ,74,,,5815,0358-4881023,Privado,,,
35,1,hospital,hospital,Hogar De Ancianos Sagrada Familia,Privado,cordoba ,1141,,,5800,0358-4639446,Privado,,,
35,1,hospital,hospital,Hogar De Ancianos San Carlos Borromeo,Privado,mexico ,2150,,,5800,0358-4644198,Privado,,,
35,1,hospital,hospital,Hogar De Ancianos San Juan Evangelista,Municipal,argerich ,278,,,5847,03582-489641,Municipal,,,
35,1,hospital,hospital,Hogar Del Abuelo Juan Manuel Costas,Privado,vicente lopez y planes s/n ,0,yes,,5845,03582-494089,Privado,,,
35,1,hospital,hospital,Hogar Geriatrico Municipal Tomas Veglia,Municipal,catamarca ,389,,,5817,0358-4940036,Municipal,,,
35,1,hospital,hospital,Hospital Dr. Enrique Carrozzi,Municipal,alberto novillo ,549,,,6140,03583-429614,Municipal,,,
35,1,hospital,hospital,Hospital Municipal Berrotaran,Municipal,catamarca ,389,,,5817,0358-4941509,Municipal,,,
35,1,hospital,hospital,Hospital Municipal De Alcira,Municipal,pedro caviglia ,111,,,5813,0358-4969614,Municipal,,,
35,1,hospital,hospital,Hospital Municipal De Autogestion Adelia Maria,Municipal,las heras ,284,,,5843,03585-420300,Municipal,,,
35,1,hospital,hospital,Hospital Municipal De La Cautiva,Municipal,9 de julio y l. v. mansilla s/n ,0,yes,,6142,(03583) 49-1142,Municipal,,,
35,1,hospital,hospital,Hospital Municipal Enrique Carrozzi,Municipal,san martin ,675,,,6140,03583-484555,Municipal,,,
35,1,hospital,hospital,Hospital Municipal Juan Bautista Medeot,Municipal,belgrano ,650,,,5829,03582-439209,Municipal,,,
35,1,hospital,hospital,Hospital Municipal Rene Favaloro,Municipal,av. 15 de mayo ,88,,,5831,(03585) 49-2029 / 050,Municipal,,,
35,1,hospital,hospital,Hospital Municipal Tomas Ponsone De Coronel Moldes,Municipal,sarmiento ,537,,,5847,03582-489646,Municipal,,,
35,1,hospital,hospital,Instituto De Imagenes Medicas Del Sur S.R.L.,Privado,sobremonte ,1926,,,5800,0358-4797135,Privado,,,
35,1,hospital,hospital,Instituto De Urologia Y Nefrologia S.R.L.,Privado,mitre ,1064,,,3615,03586-4635400,Privado,,,
35,1,hospital,hospital,Instituto Medico Rio Cuarto S.A,Privado,hipólito irigoyen ,1020,,,5800,0358-4679333,Privado,,,
35,1,hospital,hospital,Instituto Oncohematologico Privado S.R.L,Privado,pedernera ,50,,,5800,0358-4644755,Privado,,,
35,1,hospital,hospital,Instituto Privado De Neonatologia Y Pediatria S.A.,Privado,italia ,1454,,,3615,03586-429834,Privado,,,
35,1,hospital,hospital,Instituto San Jose Modalidad Especial,Privado,mons. aquilino arguello ardiles ,531,,,5817,0358-4941409,Privado,,,
35,1,hospital,hospital,Nazareth Institucion Privada Sin Fines De Lucro,Privado,pública s/n ,0,yes,,5805,0358- 4702097,Privado,,,
35,1,hospital,hospital,Nuevo Hospital Rio Cuarto San Antonio De Padua,Provincial,rosario de santa fe ,495,,,5800,0358-4678700,Provincial,,,
35,1,hospital,hospital,Policlinico Privado San Lucas,Privado,mitre ,930,,,5800,0358-4640232,Privado,,,
35,1,hospital,hospital,Puesto Sanitario Las Albahacas,Municipal,calle 11 s/nş ,0,yes,,5801,0358-4919562,Municipal,,,
35,1,hospital,hospital,Puesto Sanitario Malena,Municipal,san martin s/n° ,0,yes,,5839,(03582) 49-6030,Municipal,,,
35,1,hospital,hospital,Puesto Sanitario Punta Del Agua,Municipal,santiago vazquez s/n ,0,yes,,5931,null,Municipal,,,
35,1,hospital,hospital,Residencia Geriatrica La Casona Hogar,Privado,sobremonte ,1338,,,5800,0358-4797768,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Privada Amanecer,Privado,lavalle ,536,,,5800,0358-4639156,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Privada La Medalla Milagrosa,Privado,amadeo mozart ,156,,,5800,0358-4654337,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Privada Maria Del Rosario,Privado,boulevard general roca ,788,,,5800,0358-4632252,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Privada Nuevo Amanecer,Privado,iguazu ,540,,,5800,0358-4680355,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Privada Santa Clara De Asis,Privado,san jose de calazans ,903,,,5800,0358-4626980,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Privada Sol De Otońo,Privado,fray quirico porreca ,236,,,5800,0358-4623254,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Sagrada Familia S.A.,Privado,ruta 8 km ,597,,,5805,0358-154342839,Privado,,,
35,1,hospital,hospital,Residencia Geriatrica Santa Teresita,Privado,saavedra ,741,,,5800,0358-4625161,Privado,,,
35,1,hospital,hospital,Sanatorio Privado Del Sur,Privado,mariano moreno ,253,,,5817,0358-4940492,Privado,,,
35,1,hospital,hospital,Sanatorio Privado Rio Cuarto,Privado,bv. general roca ,949,,,5800,03586-463688,Privado,,,
35,1,hospital,hospital,Servicio De Emergencia E.M.A (Emergencia Medica Asistencial),Privado,fotheringam ,429,,,5800,null,Privado,,,
35,1,hospital,hospital,Servicio De Traslado Casa Grassi S.R.L,Privado,hipólito yrigoyen ,443,,,5800,0358-4623190,Privado,,,
