Registro Federal de Establecimientos de Salud

Fecha de creación de la lista: 6 de mayo de 2020 20:33

Filtros aplicados: Tipología: Establecimiento de salud sin internación de diagnóstico y tratamiento; Dependencia: Municipal; Dependencia: Provincial; Tipo de establecimiento: ESTABLECIMIENTO DE SALUD; 

Código;Nombre;Provincia;Dependencia;Tipología;Localidad;Departamento;Domicilio;CP;Teléfono;Categoría de tipología;Origen de financiamiento;Latitud;Longitud
50180562139450;10 DE FEBRERO;Corrientes;Provincial;ESSIDT;ALVEAR;GENERAL ALVEAR;Manuel Belgrano;3344;03770 - 470128;Con atención médica general por lo menos 3 días de la semana;Público;-29.0973276;-56.55043920000003
50066232202947;2 DE ABRIL;Buenos Aires;Municipal;ESSIDT;PERGAMINO;PERGAMINO;GENERAL PICO 850;2700;02477-434693/423743;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-33.8822312;-60.56907150000001
50180702139452;25 DE MAYO;Corrientes;Provincial;ESSIDT;GOYA;GOYA;MENDOZA 518;3450;03777-422283;Con atención médica general por lo menos 3 días de la semana;Público;-29.1426205;-59.2455923
50067602202948;29 DE SEPTIEMBRE;Buenos Aires;Municipal;ESSIDT;SAN MIGUEL;SAN MIGUEL;LETONIA Y RODRIGO DE TRIANA;1663;011-44515843;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-34.5583992;-58.758736399999975
50180072139454;80 VIVIENDAS COLONIA 3 DE ABRIL;Corrientes;Provincial;ESSIDT;BELLA VISTA;BELLA VISTA;COLONIA 3 DE ABRIL;3432;null;Con atención médica general por lo menos 3 días de la semana;Público;-28.388904;-58.94324
50064902201057;ACCIP;Buenos Aires;Municipal;ESSIDT;LOMAS DE ZAMORA;LOMAS DE ZAMORA;J.J.VALLE ( RIVERA SUR) 2900 Y VIRGILIO;6073;null;null;Público;-34.76368534008683;-58.4382963180542
51300842143723;ACOSTA ALICIA Y MOYANO SUSANA  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;PARANA;PARANÁ;VICTORIA 688;3100;null;Laboratorio de Análisis Clínicos;Público;null;null
51300842143724;ACOSTA OSCAR  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;PARANA;PARANÁ;VILLAGUAY 870;3100;null;Laboratorio de Análisis Clínicos;Público;null;null
50421332153054;ADOLFO VAN PRAET;La Pampa;Provincial;ESSIDT;ADOLFO VAN PRAET;REALICÓ;DR. SUBIRIA S/N°;6208;02331 499143;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-35.016856;-64.03529800000001
53820632188608;AGENCIA SANTAFESINA DE SEGURIDAD ALIMENTARIA;Santa Fe;Provincial;ESCL;SANTA FE;LA CAPITAL;Francia 2690;3000;0342-4573718;Agencias-servicios gubernamentales;Público;-31.643161;-60.71368799999999
51300352143725;AGOSTI MARIA DIANA  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;FEDERAL;FEDERAL;ARIENTI 1041;3180;null;Laboratorio de Análisis Clínicos;Público;null;null
51300082143726;AGUET MARIA NOEL Y ROUDE ANDREA PAOLA  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;COLON;COLÓN;MORENO 135;3280;null;Laboratorio de Análisis Clínicos;Público;null;null
50181682139084;AGUSTIN GOMEZ;Corrientes;Provincial;ESSIDT;SANTO TOME;SANTO TOMÉ;RUTA 94 Paraje Atalaya;3448;null;Con atención médica diaria y con especialidades y/o otras profesiones;Público;-28.549205;-56.051526999999965
50421052153055;AGUSTONI;La Pampa;Provincial;ESSIDT;AGUSTONI;MARACÓ;PETIT DE NEURVILLE , ENTRE CORDOBA Y SAN LUIS;6364;02302 480234;Sin atención médica en forma periódica (menor a 3 veces por semana);Público;-37.596824001083654;-63.61083984375
51300422143727;ALBERGHETTI GUSTAVO  LABORATORIO DE ANALISIS CLINICOS;Entre Ríos;Provincial;ESSID;SAN JOSE DE FELICIANO;FELICIANO;PARANA 35;3187;null;Laboratorio de Análisis Clínicos;Público;null;null
15460142155435;ALBERGUE DE ANCIANO AUTOVALIDOS Y DEPENDIENTES DEL HOGAR DE MIS ABUELOS;La Rioja;Provincial;ESCIETE;LA RIOJA;CAPITAL;1 de Marzo 578;5300;(0380)-4421642;Mediano riesgo con internación con cuidados especiales;Público;-29.4212362;-66.84573890000001
