Registro Federal de Establecimientos de Salud

Fecha de creación de la lista: 8 de mayo de 2020 23:40

Filtros aplicados: Tipo de establecimiento: ESTABLECIMIENTO DE SALUD; Tipología: Establecimiento de salud con internación general; 

Código;Nombre;Provincia;Dependencia;Tipología;Localidad;Departamento;Domicilio;CP;Teléfono;Categoría de tipología;Origen de financiamiento;Latitud;Longitud
10500212360914;A MANO SANATORIO PRIVADO 1.-;Mendoza;Privado;ESCIG;GODOY CRUZ;GODOY CRUZ;BELTRAN 95;5501;0261 - 4429950;Alto riesgo con terapia intensiva;Privado;-32.9228007;-68.84973359999998
10500982360136;A MANO SANATORIO PRIVADO 2.-;Mendoza;Privado;ESCIG;CIUDAD DE SAN MARTIN;SAN MARTÍN;GUTIÉRREZ 85;5570;0263 - 4433943;Mediano riesgo con internación con cuidados especiales;Privado;-33.089336;-68.47438540000002
10140142331292;ACONCAGUA SANATORIO PRIVADO;Córdoba;Privado;ESCIG;CORDOBA;CAPITAL;Rondeau 455;5000;0351-5699910;Alto riesgo con terapia intensiva;Privado;-31.4238362;-64.18072269999999
10064412300103;ALTHEA CLINICA PRIVADA;Buenos Aires;Privado;ESCIG;VILLA ELVIRA;LA PLATA;Calle 80 570 - e/ 6 y 7;1900;(0221) 453-3765;Alto riesgo con terapia intensiva;Privado;-34.936699;-57.91881000000001
10660282374247;ALTOS DE SALTA;Salta;Privado;ESCIG;SALTA;CAPITAL;Laprida 145;4400;null;Alto riesgo con terapia intensiva;Privado;-24.7907089;-65.42448760000002
10068402306581;ANGIO SALUD SA;Buenos Aires;Privado;ESCIG;CIUDADELA;TRES DE FEBRERO;HIPOLITO YRIGOYEN 1051;1702;011-4653-4492;Bajo riesgo con internación simple;Privado;-34.6294178;-58.55094180000003
50140632232124;ASOCIACION CIVIL HOSPITAL PARA LA COMUNIDAD DE ARIAS DR .JUAN P. CABRINI;Córdoba;Privado;ESCIG;ARIAS;MARCOS JUÁREZ;AV. ESPAÑA 1448;2624;null;Alto riesgo con terapia intensiva;Privado;-33.640542;-62.402015000000006
10064902316021;ASOCIACION MEDICA DE LOMAS DE ZAMORA S.A POLICLINICO LOMAS;Buenos Aires;Privado;ESCIG;LOMAS DE ZAMORA;LOMAS DE ZAMORA;Avenida Hipólito Yrigoyen 8439;1832;011-42393300;Alto riesgo con terapia intensiva;Privado;-34.7537204;-58.40120479999996
10221402326935;C M Q R CENTRO MEDICO QUIRURGICO RESISTENCIA;Chaco;Privado;ESCIG;RESISTENCIA;SAN FERNANDO;Avenida 9 de Julio 1698;3500;0362 4413309;Bajo riesgo con internación simple;Privado;-27.4648409;-58.970968200000016
10062743217976;CAPS N° 32;Buenos Aires;Servicio Penitenciario Provincial;ESCIG;LA CAPILLA;FLORENCIO VARELA;Calle Buenos Aires y Ruta 53;1888;null;Bajo riesgo con internación simple;Público;-34.938476;-58.263104999999996
10064413217975;CAPS N° 33;Buenos Aires;Servicio Penitenciario Provincial;ESCIG;LOS HORNOS;LA PLATA;Calle 149 y 71 - Unidad Carcelaria N° 33;1900;null;Bajo riesgo con internación simple;Público;-34.969846;-57.972419
10062743217974;CAPS N° 42 - UNIDAD CARCELARIA N° 42;Buenos Aires;Servicio Penitenciario Provincial;ESCIG;LA CAPILLA;FLORENCIO VARELA;Calle Buenos Aires y Ruta 53 - Unidad Carcelaria N° 42;1888;null;Bajo riesgo con internación simple;Público;-34.938433;-58.26309900000001
10064413217717;CAPS N° 9;Buenos Aires;Servicio Penitenciario Provincial;ESCIG;LA PLATA;LA PLATA;Calle 10 76;1900;null;Bajo riesgo con internación simple;Público;-34.9046507;-57.97029310000005
10580352367775;CASA DE SALUD DE LUNCEC;Neuquén;Privado;ESCIG;NEUQUEN;CONFLUENCIA;Islas Malvinas 1329;8300;02994482063;Bajo riesgo con internación simple;Privado;-38.9477758;-68.04019499999998
10064272305839;CASA HOSPITAL SAN JUAN DE DIOS;Buenos Aires;Privado;ESCIG;RAMOS MEJIA;LA MATANZA;Doctor Gabriel Ardoino 714;1704;(011) 4480-8700;Alto riesgo con terapia intensiva;Privado;-34.6394555;-58.55474290000001
10820632188607;CEMAFE HEROES DE MALVINAS;Santa Fe;Provincial;ESCIG;SANTA FE;LA CAPITAL;Mendoza 2419;3000;0342 4815794;Bajo riesgo con internación simple;Público;-31.6497377;-60.7052008
10020012315172;CEMIC - HOSPITAL UNIVERSITARIO SEDE LAS HERAS.;CABA;Privado;ESCIG;RECOLETA;COMUNA 2;AV. GRAL. LAS HERAS 2900;1425;(011) 4806-2222;Alto riesgo con terapia intensiva;Privado;-34.583757713171714;-58.40203285217285
10020012315173;CEMIC - HOSPITAL UNIVERSITARIO SEDE SAAVEDRA;CABA;Privado;ESCIG;COGHLAN;COMUNA 12;Galván 4102;1431;(011) 4546-8200;Alto riesgo con terapia intensiva;Privado;-34.55685709999999;-58.495186399999966
50940072195023;CENTRO ASISTENCIAL TOLHUIN;Tierra del Fuego;Provincial;ESCIG;TOLHUIN;RÍO GRANDE;AVENIDA DE LOS SHELKNAM 243;9420;(02901) 49-2121;Bajo riesgo con internación simple;Público;-53.80158860497378;-67.66286373138428
10220212527516;CENTRO CLINICO DE ALTA COMPLEJIDAD DE LA UNCAUS;Chaco;Universitario público;ESCIG;PRESIDENCIA ROQUE SAENZ PENA;COMANDANTE FERNÁNDEZ;COMANDANTE FERNANDEZ  755;3700;364-4420137;Alto riesgo con terapia intensiva;Público;-26.8017237;-60.446802599999955
